Beschreibung;Typ;Registertyp lesen;Registertyp schreiben;rw;Adresse;Register;Multiplikator;Unit;Min;Max;Inc;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Kaskade minimale Anzahl Kessel;INT;3;;rw;21815;21816;;;1;4;1;;;;;;;;;;;;;;;;;;;;;
Kaskade bei Füllgrad kleiner (0=deaktiviert);INT;3;;rw;21816;21817;;%;0;100;1;;;;;;;;;;;;;;;;;;;;;
"Kaskade Anzahl Kessel Ein externer
Anforderung";INT;3;;rw;21670;21671;;;0;4;1;;;;;;;;;;;;;;;;;;;;;
Kaskade Start nächster Kessel bei Info;WAHL;3;;rw;21817;21818;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
"Kaskade Zwangszuschaltung ab
(0=deaktiviert)";INT;3;;rw;21818;21819;;Min;0;999;1;;;;;;;;;;;;;;;;;;;;;
Kaskade Eingang Fremdwärme/KWK;WAHL;3;;rw;21878;21879;;;;;;Öffner;Schließer;;;;;;;;;;;;;;;;;;;
Kaskade Verzögerung Kesselstart wenn KWK/Fremdwärme nicht ok (0=inaktiv);INT;3;;rw;21879;21880;;Min;0;120;1;;;;;;;;;;;;;;;;;;;;;
Kaskade Freien Kessel starten bei Entaschung wenn Pufferfüllgrad <;INT;3;;rw;21819;21820;;%;0;100;1;;;;;;;;;;;;;;;;;;;;;
"Kaskade Kessel-Solltemperatur
bei Kommunikations Störung";INT;3;;rw;21671;21672;;°C;0;100;1;;;;;;;;;;;;;;;;;;;;;
Kaskade Fremdkessel;WAHL;3;;rw;21672;21673;;;;;;Nicht vorhanden;Vorhanden;;;;;;;;;;;;;;;;;;;
Kaskade FW Kaskade-Priorität;WAHL;3;;rw;21820;21821;;;;;;P 1;P 2;P 3;P 4;P 5;P 6;;;;;;;;;;;;;;;
Kaskade Verzögerung Kesselstart wenn Fremdwärme nicht ok (0=inaktiv);INT;3;;rw;21821;21822;;Min;0;120;1;;;;;;;;;;;;;;;;;;;;;
Kaskade Infomeldung wenn FW nicht Ok;WAHL;3;;rw;21822;21823;;;;;;nicht anzeigen;Aktiviert;Deaktiviert;;;;;;;;;;;;;;;;;;
Kaskade Eingang Fremdwärme;WAHL;3;;rw;21880;21881;;;;;;Öffner;Schließer;;;;;;;;;;;;;;;;;;;
Kaskade Kaskade KWK;WAHL;3;;rw;21823;21824;;;;;;Nicht vorhanden;Vorhanden;;;;;;;;;;;;;;;;;;;
Kaskade KWK Kaskade-Priorität;WAHL;3;;rw;21824;21825;;;;;;P 1;P 2;P 3;P 4;P 5;P 6;;;;;;;;;;;;;;;
Kaskade KWK Abschalttemperatur;INT;3;;rw;21825;21826;;°C;30;75;1;;;;;;;;;;;;;;;;;;;;;
Kaskade Verzögerung Kesselstart wenn KWK nicht ok (0=inaktiv);INT;3;;rw;21826;21827;;Min;0;120;1;;;;;;;;;;;;;;;;;;;;;
Kaskade KWK anfordern bis Pufferfüllgrad größer;INT;3;;rw;21827;21828;;%;0;100;1;;;;;;;;;;;;;;;;;;;;;
Kaskade Infomeldung wenn KWK nicht Ok;WAHL;3;;rw;21828;21829;;;;;;nicht anzeigen;Aktiviert;Deaktiviert;;;;;;;;;;;;;;;;;;
Kaskade Eingang KWK;WAHL;3;;rw;21881;21882;;;;;;Öffner;Schließer;;;;;;;;;;;;;;;;;;;
Kaskade KWK sperren bei durchmischtem Puffer;WAHL;3;;rw;21829;21830;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
Kaskade Reset Kaskade;WAHL;3;;rw;21673;21674;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
Kaskade Kessel A deaktiviert;WAHL;3;;rw;21830;21831;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
Kaskade Kessel B deaktiviert;WAHL;3;;rw;21831;21832;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
Kaskade Kessel C deaktiviert;WAHL;3;;rw;21832;21833;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
Kaskade Kessel D deaktiviert;WAHL;3;;rw;21833;21834;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
Kaskade KWK deaktiviert;WAHL;3;;rw;21836;21837;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
Kaskade Fremdkessel deaktiviert;WAHL;3;;rw;21837;21838;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
Kaskade Kessel A;WAHL;3;;rw;21838;21839;;;;;;keine Wahl;Starten;Stoppen;;;;;;;;;;;;;;;;;;
Kaskade Kessel B;WAHL;3;;rw;21839;21840;;;;;;keine Wahl;Starten;Stoppen;;;;;;;;;;;;;;;;;;
Kaskade Kessel C;WAHL;3;;rw;21840;21841;;;;;;keine Wahl;Starten;Stoppen;;;;;;;;;;;;;;;;;;
Kaskade Kessel D;WAHL;3;;rw;21841;21842;;;;;;keine Wahl;Starten;Stoppen;;;;;;;;;;;;;;;;;;
Kaskade KWK;WAHL;3;;rw;21844;21845;;;;;;keine Wahl;Starten;Stoppen;;;;;;;;;;;;;;;;;;
Kaskade Fremdkessel;WAHL;3;;rw;21845;21846;;;;;;keine Wahl;Starten;Stoppen;;;;;;;;;;;;;;;;;;
