Beschreibung;Typ;Registertyp lesen;Registertyp schreiben;rw;Adresse;Register;Multiplikator;Unit;Min;Max;Inc;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
PWM Differenzregler 3 Pumpe 3;WAHL;3;;rw;21329;21330;;;;;;Nicht vorhanden;PWM;PWM invertiert;0-10V;230V;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Drehzahl-Minimum Pumpe 3;INT;3;;rw;21330;21331;;%;16;100;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Drehzahl-Maximum Pumpe 3;INT;3;;rw;21331;21332;;%;0;100;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Differenzregler 3 aktiv ab Wärmequelle;INT;3;;rw;21332;21333;;°C;10;95;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 PWM Differenzregler Abschaltung ab Wärmequelle;INT;3;;rw;21333;21334;;°C;10;140;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Differenzregler 3 aktiv ab Wärmequelle;INT;3;;rw;21334;21335;;°C;10;95;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 PWM Differenzregler Freigabezeit;TPROG;3;;rw;21570;21571;;;;;;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Parallelbetrieb Kreis 1 + 2;WAHL;3;;rw;21335;21336;;;;;;Nein (ohne Ventil);Nein (Ventil vorhanden);Ja;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Grundstellung Ventil;WAHL;3;;rw;21336;21337;;;;;;Kreis 2;Kreis 1;;;;;;;;;;;;;;;;;;;
;;3;;rw;21337;21338;;;;;;Platine S Klemme S3;Zentralpufferfühler oben;Zentralpufferfühler Mitte;Zentralpufferfühler unten;Zentralpufferfühler TPMO;Zentralpufferfühler TPMU;Boilerfühler A;Boilerfühler 1;Boilerfühler 2;Boilerfühler 3;Boilerfühler B;Platine S Klemme S2;Zusatzpufferfühler HKM0 oben;Zusatzpufferfühler HKM0 Mitte;Zusatzpufferfühler HKM0 unten;Zusatzpufferfühler HKM1 oben;Zusatzpufferfühler HKM1 Mitte;Zusatzpufferfühler HKM1 unten;Zusatzpufferfühler HKM2 oben;Zusatzpufferfühler HKM2 Mitte;Zusatzpufferfühler HKM2 unten
PWM Differenzregler 3 Überhöhung der Wärmequelle (Kreis 1);INT;3;;rw;21338;21339;;K;1;50;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Schaltdifferenz (Kreis 1);INT;3;;rw;21339;21340;;K;1;50;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Abschaltung Kreis 1;INT;3;;rw;21340;21341;;°C;10;95;1;;;;;;;;;;;;;;;;;;;;;
;;3;;rw;21341;21342;;;;;;Platine S Klemme S3;Zentralpufferfühler oben;Zentralpufferfühler Mitte;Zentralpufferfühler unten;Zentralpufferfühler TPMO;Zentralpufferfühler TPMU;Boilerfühler A;Boilerfühler 1;Boilerfühler 2;Boilerfühler 3;Boilerfühler B;Platine S Klemme S2;Zusatzpufferfühler HKM0 oben;Zusatzpufferfühler HKM0 Mitte;Zusatzpufferfühler HKM0 unten;Zusatzpufferfühler HKM1 oben;Zusatzpufferfühler HKM1 Mitte;Zusatzpufferfühler HKM1 unten;Zusatzpufferfühler HKM2 oben;Zusatzpufferfühler HKM2 Mitte;Zusatzpufferfühler HKM2 unten
PWM Differenzregler 3 Überhöhung der Wärmequelle (Kreis 2);INT;3;;rw;21342;21343;;K;1;50;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Schaltdifferenz (Kreis 2);INT;3;;rw;21343;21344;;K;1;50;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Abschaltung Kreis 2;INT;3;;rw;21344;21345;;°C;10;95;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Umschaltung auf Kreis 2 wenn Differenz bei Kreis 1 kleiner;INT;3;;rw;21345;21346;;K;1;20;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Umschaltung auf Kreis 2 wenn Kreis 1 über;INT;3;;rw;21346;21347;;°C;20;90;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Zeitverzögerung für Umschaltung zwischen den Kreisen;INT;3;;rw;21347;21348;;Min;0;60;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Vorspüldauer;INT;3;;rw;21348;21349;;Sek;0;60;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Sperrzeit für wiederholtes Einschalten;INT;3;;rw;21349;21350;;Min;0;60;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Startdrehzahl Regler;INT;3;;rw;21350;21351;;%;10;100;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Differenzdrehzahl Pumpe 2 (basierend auf Pumpe 1);INT;3;;rw;21351;21352;;%;-40;40;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Differenzdrehzahl Pumpe 3 (basierend auf Pumpe 1);INT;3;;rw;21352;21353;;%;-40;40;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Fremdwärmekessel;WAHL;3;;rw;21353;21354;;;;;;mit Rücklaufmischer;nur Pumpe;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Mischerlaufzeit;INT;3;;rw;21354;21355;;Sek;10;300;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Rücklauftemperatur Sollwert;INT;3;;rw;21355;21356;;°C;10;90;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Info bei nicht erreichter Rücklauftemperatur;INT;3;;rw;21356;21357;;°C;10;90;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Zeit für Info;INT;3;;rw;21357;21358;;Min;1;120;1;;;;;;;;;;;;;;;;;;;;;
;;3;;rw;21358;21359;;;;;;Platine S Klemme S3;Zentralpufferfühler oben;Zentralpufferfühler Mitte;Zentralpufferfühler unten;Zentralpufferfühler TPMO;Zentralpufferfühler TPMU;Boilerfühler A;Boilerfühler 1;Boilerfühler 2;Boilerfühler 3;Boilerfühler B;Platine S Klemme S2;Zusatzpufferfühler HKM0 oben;Zusatzpufferfühler HKM0 Mitte;Zusatzpufferfühler HKM0 unten;Zusatzpufferfühler HKM1 oben;Zusatzpufferfühler HKM1 Mitte;Zusatzpufferfühler HKM1 unten;Zusatzpufferfühler HKM2 oben;Zusatzpufferfühler HKM2 Mitte;Zusatzpufferfühler HKM2 unten
PWM Differenzregler 3 Überhöhung der Wärmequelle (Fremdwärmekessel);INT;3;;rw;21359;21360;;°C;1;50;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Schaltdifferenz (Fremdwärmekessel);INT;3;;rw;21360;21361;;°C;1;50;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Sicherheitsschaltung ab Wärmequelle (Platine S, Klemme S4);INT;3;;rw;21361;21362;;°C;80;105;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Wärmemengenzähler PWM Differenzregler;WAHL;3;;rw;21362;21363;;;;;;Inaktiv;Aktiv;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Durchfluss Pumpe 1 Minimum;FLOAT;3;;rw;21363;21364;;l/min;0.00;999.00;0.10;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Durchfluss Pumpe 1 Maximum;FLOAT;3;;rw;21365;21366;;l/min;0.00;999.00;0.10;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Durchfluss Pumpe 2 Minimum;FLOAT;3;;rw;21367;21368;;l/min;0.00;999.00;0.10;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Durchfluss Pumpe 2 Maximum;FLOAT;3;;rw;21369;21370;;l/min;0.00;999.00;0.10;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Durchfluss Pumpe 3 Minimum;FLOAT;3;;rw;21371;21372;;l/min;0.00;999.00;0.10;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Durchfluss Pumpe 3 Maximum;FLOAT;3;;rw;21373;21374;;l/min;0.00;999.00;0.10;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Wärmekapazität Trägermedium;FLOAT;3;;rw;21375;21376;;Wh/kgK;0.10;3.00;0.00;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Abtaufunktion;WAHL;3;;rw;24311;24312;;;;;;Nicht vorhanden;Vorhanden;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Dauer Abtaufunktion;INT;3;;rw;24312;24313;;Min;1;30;1;;;;;;;;;;;;;;;;;;;;;
