Synonym;Kategorie;Gate;Gate-aktiv-bei;Basis;Beschreibung;Typ;Registertyp lesen;Registertyp schreiben;rw;Adresse;Register;Multiplikator;Unit;Min;Max;Inc;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
C4a;zentralpuffer;C2;1,2,3,4,5;;Zentralpuffer minimale Kessel-Solltemperatur bei Pufferladung;INT;3;;rw;20900;20901;1;°C;48;85;1;;;;;;;;;;;;;;;;;;;;;
C4b;fremdwaerme;C9;1,2;;Zentralpuffer Fühler für Beenden der Zentralpufferladung (auf Grund Warmwasserbereitung, Solar, Fremdwärmebetrieb):;WAHL;3;;rw;20901;20902;1;;;;;Puffer unten;Puffer oben;Puffer Mitte oben;Puffer Mitte;Puffer Mitte unten;Boilerfühler;;;;;;;;;;;;;;;
C4c;zentralpuffer;C2;1,2,3,4,5;;Zentralpuffer Puffer-Mindesttemperatur (Fühler oben);INT;3;;rw;20902;20903;1;°C;0;60;1;;;;;;;;;;;;;;;;;;;;;
C4c1;zentralpuffer;C2;1,2,3,4,5;;Zentralpuffer Tagesuhr Zentralpuffer Mindesttemp.;TPROG;3;16;rw;21204;21205;1;;;;;;;;;;;;;;;;;;;;;;;;;
C4d;zentralpuffer;C2;1,2,3,4,5;;Zentralpuffer Leistungsreduktion bei Füllgrad über;INT;3;;rw;21597;21598;1;%;65;100;1;;;;;;;;;;;;;;;;;;;;;
C4e;zentralpuffer;C2;1,2,3,4,5;;Zentralpuffer Fehlererkennung Pufferfühler unten nach (0=deaktiviert);INT;3;;rw;21598;21599;1;Min;0;60;1;;;;;;;;;;;;;;;;;;;;;
C4f;zentralpuffer;C2;1,2,3,4,5;;Zentralpuffer Wiederaufnahme Leistungsbrand bei Pufferbefüllgrad unter (100=inaktiv);INT;3;;rw;24350;24351;1;%;0;100;1;;;;;;;;;;;;;;;;;;;;;
C5;zentralpuffer;C2;1,2,3,4,5;;Wochenuhr Zwangsladung Zentralpuffer;WPROG;3;16;rw;21208;21209;1;;;;;;;;;;;;;;;;;;;;;;;;;
C5a;zentralpuffer;C2;1,2,3,4,5;;Pufferzwangsladung Wochenuhr Keine Pufferzwangsladung bei Außentemperatur über;INT;3;;rw;21213;21214;1;°C;-20;85;1;;;;;;;;;;;;;;;;;;;;;
C5c;zentralpuffer;C2;1,2,3,4,5;;Kesselleistung bei Pufferladung Kesselleistung bei Pufferladung;INT;3;;rw;23299;23300;1;%;30;100;1;;;;;;;;;;;;;;;;;;;;;
