Synonym;Kategorie;Gate;Gate-aktiv-bei;Basis;Beschreibung;Typ;Registertyp lesen;Registertyp schreiben;rw;Adresse;Register;Multiplikator;Unit;Min;Max;Inc;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
ZK;kessel;D4;1;1;Kesselzustand PK;DAQ-ANA;3;;r;11588;11589;0,1;;;;;Initialisierung;Aus;SR Init;Start;Zündung Einschub;Zündung Pause;Leistungsbrand Start;Leistungsbrand;Gluterhaltung;Ausbrand;Entaschung Rost;Entaschung Nachlauf;Reinigung;Füllen Start;Füllen;Handbetrieb;Aschebox Warten;Verbrennungsassistent;ABS;STB;
O2soll;kessel;D4;1;;O2-Soll;DAQ-ANA;3;;r;11592;11593;0,1;%;;;;;;;;;;;;;;;;;;;;;;;;
TK;kessel;D4;1;1;Kesseltemperatur;DAQ-ANA;3;;r;10082;10083;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TKsoll;kessel;D4;1;;Kessel-Solltemperatur;DAQ-ANA;3;;r;11538;11539;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRL;system;;;;Rücklauftemperatur;DAQ-ANA;3;;r;11514;11515;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRLsoll;system;;;;Rücklauf-Solltemperatur;DAQ-ANA;3;;r;11610;11611;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Spreizung;system;;;;Spreizung Rücklauf;DAQ-ANA;3;;r;11684;11685;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRG;kessel;D4;1;1;Rauchgastemperatur;DAQ-ANA;3;;r;11512;11513;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TPo;zentralpuffer;C2;1,2,3,4,5;1;Puffertemperatur oben;DAQ-ANA;3;;r;10122;10123;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TPm;zentralpuffer;C2;1,2,3,4,5;1;Puffertemperatur Mitte;DAQ-ANA;3;;r;10254;10255;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TPu;zentralpuffer;C2;1,2,3,4,5;1;Puffertemperatur unten;DAQ-ANA;3;;r;10124;10125;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Puff Füllgrad;zentralpuffer;C2;1,2,3,4,5;1;Pufferfüllgrad Zentralpuffer;DAQ-ANA;3;;r;11342;11343;0,1;%;;;;;;;;;;;;;;;;;;;;;;;;
Puffer_soll oben;zentralpuffer;C2;1,2,3,4,5;;Puffer oben Sollwert;DAQ-ANA;3;;r;11344;11345;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Puffer_soll unten;zentralpuffer;C2;1,2,3,4,5;;Puffer unten Sollwert;DAQ-ANA;3;;r;11346;11347;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
PuffZustand;zentralpuffer;C2;1,2,3,4,5;1;Zustand Zentralpuffer;DAQ-ANA;3;6;rw;10202;10203;0,1;;;;;Aus;Restwärme;Ein;Laden;Handbetrieb;Rauchfangkehrer;;;;;;;;;;;;;;;
Max Anf Kessel;kessel;D4;1;;höchste Anforderung Kessel;DAQ-ANA;3;;r;11678;11679;0,1;;;;;;;;;;;;;;;;;;;;;;;;;
TFW;fremdwaerme;C9;1,2;;Fremdwärmetemperatur;DAQ-ANA;3;;rw;11500;11501;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Leistung;kessel;D4;1;1;Kesselleistung;DAQ-ANA;3;;r;11536;11537;0,1;%;;;;;;;;;;;;;;;;;;;;;;;;
Programm;kessel;D4;1;1;Programmwahlschalter;DAQ-ANA;3;6;rw;11336;11337;0,1;;;;;Hand;Aus;Boiler;Auto;Feuerung aus;;;;;;;;;;;;;;;;
Störungs Nr;kessel;D4;1;1;aktuelle Störungsnummer;DAQ-ANA;3;;r;11530;11531;0,1;;;;;;;;;;;;;;;;;;;;;;;;;
Max Anf ZenPuf;zentralpuffer;C2;1,2,3,4,5;;höchste Anforderung Zentralpuffer;DAQ-ANA;3;;r;13246;13247;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
I Es;kessel;D4;1;;Strom Einschubschnecke;DAQ-ANA;3;;r;11628;11629;0,1;mA;;;;;;;;;;;;;;;;;;;;;;;;
I Ra;kessel;D4;1;;Strom Raumaustragung;DAQ-ANA;3;;r;11630;11631;0,1;mA;;;;;;;;;;;;;;;;;;;;;;;;
I Aa;kessel;D4;1;;Strom Ascheaustragung;DAQ-ANA;3;;r;11632;11633;0,1;mA;;;;;;;;;;;;;;;;;;;;;;;;
I Sr;kessel;D4;1;;Strom Schieberost;DAQ-ANA;3;;r;11836;11837;0,1;mA;;;;;;;;;;;;;;;;;;;;;;;;
I Rein;kessel;D4;1;;Strom Putzeinrichtung;DAQ-ANA;3;;r;11838;11839;0,1;mA;;;;;;;;;;;;;;;;;;;;;;;;
LZ ES seit Füll.;kessel;D4;1;;Einschub seit letztem Füllen;DAQ-ANA;3;;r;11676;11677;0,1;Min;;;;;;;;;;;;;;;;;;;;;;;;
LZ LB seit Ent.;kessel;D4;1;;Einschub seit letzter Entaschung;DAQ-ANA;3;;r;11850;11851;0,1;Min;;;;;;;;;;;;;;;;;;;;;;;;
Anzahl Entasch.;kessel;D4;1;;Anzahl Entaschungen;DAQ-ANA;3;;r;11852;11853;0,1;;;;;;;;;;;;;;;;;;;;;;;;;
Anzahl SR Beweg.;kessel;D4;1;;Anzahl Bewegungen Schieberost;DAQ-ANA;3;;r;11854;11855;0,1;;;;;;;;;;;;;;;;;;;;;;;;;
Lagerstand;kessel;D4;1;1;Lagerstand Brennstoff;DAQ-ANA;3;;r;11534;11535;0,1;kg;;;;;;;;;;;;;;;;;;;;;;;;
Verbrauchszähler;kessel;D4;1;1;Verbrauch Pellets;DAQ-ANA;3;;r;11858;11859;0,1;kg;;;;;;;;;;;;;;;;;;;;;;;;
U Netzteil;kessel;D4;1;;Spannung Netzteil;DAQ-ANA;3;;r;11862;11863;0,1;mV;;;;;;;;;;;;;;;;;;;;;;;;
T Spülung;kessel;D4;1;1;Temperatur Nano-PK Plus;DAQ-ANA;3;;r;11860;11861;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Tplat;kessel;D4;1;;Temperatur Platine;DAQ-ANA;3;;r;11682;11683;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVG;fernleitung;;;;Vorlauftemperatur geregelte Fernleitung;DAQ-ANA;3;;r;11278;11279;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVG2;fernleitung;;;;Vorlauftemperatur geregelte Fernleitung 2;DAQ-ANA;3;;r;11942;11943;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
AIN17;system;;;;AIN 17;DAQ-ANA;3;;r;11856;11857;0,1;V;;;;;;;;;;;;;;;;;;;;;;;;
Taus;witterung;;;1;Außentemperatur;DAQ-ANA;3;;rw;10008;10009;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TA Gem.;witterung;;;1;Außentemperatur gemittelt;DAQ-ANA;3;;r;10006;10007;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Puffer_soll;zentralpuffer;C2;1,2,3,4,5;;Puffer-Solltemperatur;DAQ-ANA;3;;r;11260;11261;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TPmo;zentralpuffer;C2;1,2,3,4,5;1;Puffertemperatur Mitte oben;DAQ-ANA;3;;r;11504;11505;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TPmu;zentralpuffer;C2;1,2,3,4,5;1;Puffertemperatur Mitte unten;DAQ-ANA;3;;r;11506;11507;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Programm HKM1;kessel;D4;1;;Programmwahlschalter HKM1;DAQ-ANA;3;;r;11338;11339;0,1;;;;;Hand;Aus;Boiler;Auto;;;;;;;;;;;;;;;;;
Programm HKM2;kessel;D4;1;;Programmwahlschalter HKM2;DAQ-ANA;3;;r;11340;11341;0,1;;;;;;;;;;;;;;;;;;;;;;;;;
ExtHK Spg;system;;;;Anf. externer HK Spannung;DAQ-ANA;3;;r;11300;11301;0,1;V;;;;Hand;Aus;Boiler;Auto;;;;;;;;;;;;;;;;;
ExtHK Solltmp.;system;;;;Solltemperatur externer Heizkreis;DAQ-ANA;3;;r;11296;11297;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
ExtHK_2 Solltmp.;heizkreis_2;A11;1,2,3,4;;Solltemperatur externer Heizkreis 2;DAQ-ANA;3;;r;11292;11293;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
ExtHK_3 Solltmp.;heizkreis_3;A21;1,2,3,4;;Solltemperatur externer Heizkreis 3;DAQ-ANA;3;;r;11294;11295;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVL_A;heizkreis_a;A61;1,2,3,4;;Vorlauftemperatur Heizkreis A;DAQ-ANA;3;;r;10244;10245;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVLs_A;heizkreis_a;A61;1,2,3,4;;Vorlauf-Solltemperatur Heizkreis A;DAQ-ANA;3;;r;10246;10247;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRA_A;heizkreis_a;A61;1,2,3,4;;Raumfühler Heizkreis A;DAQ-ANA;3;;r;10052;10053;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRs_A;heizkreis_a;A61;1,2,3,4;;Raum-Solltemperatur Heizkreis A;DAQ-ANA;3;;r;11226;11227;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
HKZustand_A;heizkreis_a;A61;1,2,3,4;;Zustand Heizkreis A;DAQ-ANA;3;;r;10248;10249;0,1;;;;;Aus;Heizen;Rampe Absenken;Absenken;Tag/Nacht Abschaltung;Sommerabschaltung;Frostschutz;Estrich;Handbetrieb;Restwärme;Solarheizen;;;;;;;;;;
FRA Zustand;heizkreis_a;A61;1,2,3,4;;Raumfernbedienung Zustand Heizkreis A;DAQ-ANA;3;;r;11542;11543;0,1;;;;;Keine;Auto;Nacht;Tag;Aus;Party;Frostschutz;;;;;;;;;;;;;;
KNX Raumtemp HKA;heizkreis_a;A61;1,2,3,4;;Vorgabe Raumtemp. HKA;DAQ-ANA;3;;rw;11000;11001;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVL_1;heizkreis_1;A1;1,2,3,4;;Vorlauftemperatur Heizkreis 1;DAQ-ANA;3;;r;10144;10145;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVLs_1;heizkreis_1;A1;1,2,3,4;;Vorlauf-Solltemperatur Heizkreis 1;DAQ-ANA;3;;r;10146;10147;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRA_1;heizkreis_1;A1;1,2,3,4;;Raumfühler Heizkreis 1;DAQ-ANA;3;;r;10040;10041;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRs_1;heizkreis_1;A1;1,2,3,4;;Raum-Solltemperatur Heizkreis 1;DAQ-ANA;3;;r;11228;11229;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
HKZustand_1;heizkreis_1;A1;1,2,3,4;;Zustand Heizkreis 1;DAQ-ANA;3;;r;10178;10179;0,1;;;;;Aus;Heizen;Rampe Absenken;Absenken;Tag/Nacht Abschaltung;Sommerabschaltung;Frostschutz;Estrich;Handbetrieb;Restwärme;Solarheizen;;;;;;;;;;
FR1 Zustand;heizkreis_1;A1;1,2,3,4;;Raumfernbedienung Zustand Heizkreis 1;DAQ-ANA;3;;r;11544;11545;0,1;;;;;Keine;Auto;Nacht;Tag;Aus;Party;Frostschutz;;;;;;;;;;;;;;
KNX Raumtemp HK1;heizkreis_1;A1;1,2,3,4;;Vorgabe Raumtemp. HK1;DAQ-ANA;3;;rw;11002;11003;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVL_2;heizkreis_2;A11;1,2,3,4;;Vorlauftemperatur Heizkreis 2;DAQ-ANA;3;;r;10148;10149;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVLs_2;heizkreis_2;A11;1,2,3,4;;Vorlauf-Solltemperatur Heizkreis 2;DAQ-ANA;3;;r;10150;10151;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRA_2;heizkreis_2;A11;1,2,3,4;;Raumfühler Heizkreis 2;DAQ-ANA;3;;r;10042;10043;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRs_2;heizkreis_2;A11;1,2,3,4;;Raum-Solltemperatur Heizkreis 2;DAQ-ANA;3;;r;11230;11231;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
HKZustand_2;heizkreis_2;A11;1,2,3,4;;Zustand Heizkreis 2;DAQ-ANA;3;;r;10180;10181;0,1;;;;;Aus;Heizen;Rampe Absenken;Absenken;Tag/Nacht Abschaltung;Sommerabschaltung;Frostschutz;Estrich;Handbetrieb;Restwärme;Solarheizen;;;;;;;;;;
FR2 Zustand;heizkreis_2;A11;1,2,3,4;;Raumfernbedienung Zustand Heizkreis 2;DAQ-ANA;3;;r;11546;11547;0,1;;;;;Keine;Auto;Nacht;Tag;Aus;Party;Frostschutz;;;;;;;;;;;;;;
KNX Raumtemp HK2;heizkreis_2;A11;1,2,3,4;;Vorgabe Raumtemp. HK2;DAQ-ANA;3;;rw;11004;11005;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVL_3;heizkreis_3;A21;1,2,3,4;;Vorlauftemperatur Heizkreis 3;DAQ-ANA;3;;r;10152;10153;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVLs_3;heizkreis_3;A21;1,2,3,4;;Vorlauf-Solltemperatur Heizkreis 3;DAQ-ANA;3;;r;10154;10155;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRA_3;heizkreis_3;A21;1,2,3,4;;Raumfühler Heizkreis 3;DAQ-ANA;3;;r;10044;10045;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRs_3;heizkreis_3;A21;1,2,3,4;;Raum-Solltemperatur Heizkreis 3;DAQ-ANA;3;;r;11232;11233;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
HKZustand_3;heizkreis_3;A21;1,2,3,4;;Zustand Heizkreis 3;DAQ-ANA;3;;r;10182;10183;0,1;;;;;Aus;Heizen;Rampe Absenken;Absenken;Tag/Nacht Abschaltung;Sommerabschaltung;Frostschutz;Estrich;Handbetrieb;Restwärme;Solarheizen;;;;;;;;;;
FR3 Zustand;heizkreis_3;A21;1,2,3,4;;Raumfernbedienung Zustand Heizkreis 3;DAQ-ANA;3;;r;11548;11549;0,1;;;;;Keine;Auto;Nacht;Tag;Aus;Party;Frostschutz;;;;;;;;;;;;;;
KNX Raumtemp HK3;heizkreis_3;A21;1,2,3,4;;Vorgabe Raumtemp. HK3;DAQ-ANA;3;;rw;11006;11007;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVL_4;heizkreis_4;A31;1,2,3,4;;Vorlauftemperatur Heizkreis 4;DAQ-ANA;3;;r;10156;10157;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVLs_4;heizkreis_4;A31;1,2,3,4;;Vorlauf-Solltemperatur Heizkreis 4;DAQ-ANA;3;;r;10158;10159;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRA_4;heizkreis_4;A31;1,2,3,4;;Raumfühler Heizkreis 4;DAQ-ANA;3;;r;10046;10047;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRs_4;heizkreis_4;A31;1,2,3,4;;Raum-Solltemperatur Heizkreis 4;DAQ-ANA;3;;r;11234;11235;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
HKZustand_4;heizkreis_4;A31;1,2,3,4;;Zustand Heizkreis 4;DAQ-ANA;3;;r;10184;10185;0,1;;;;;Aus;Heizen;Rampe Absenken;Absenken;Tag/Nacht Abschaltung;Sommerabschaltung;Frostschutz;Estrich;Handbetrieb;Restwärme;Solarheizen;;;;;;;;;;
FR4 Zustand;heizkreis_4;A31;1,2,3,4;;Raumfernbedienung Zustand Heizkreis 4;DAQ-ANA;3;;r;11550;11551;0,1;;;;;Keine;Auto;Nacht;Tag;Aus;Party;Frostschutz;;;;;;;;;;;;;;
KNX Raumtemp HK4;heizkreis_4;A31;1,2,3,4;;Vorgabe Raumtemp. HK4;DAQ-ANA;3;;rw;11008;11009;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVL_5;heizkreis_5;A41;1,2,3,4;;Vorlauftemperatur Heizkreis 5;DAQ-ANA;3;;r;10160;10161;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVLs_5;heizkreis_5;A41;1,2,3,4;;Vorlauf-Solltemperatur Heizkreis 5;DAQ-ANA;3;;r;10162;10163;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRA_5;heizkreis_5;A41;1,2,3,4;;Raumfühler Heizkreis 5;DAQ-ANA;3;;r;10048;10049;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRs_5;heizkreis_5;A41;1,2,3,4;;Raum-Solltemperatur Heizkreis 5;DAQ-ANA;3;;r;11236;11237;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
HKZustand_5;heizkreis_5;A41;1,2,3,4;;Zustand Heizkreis 5;DAQ-ANA;3;;r;10186;10187;0,1;;;;;Aus;Heizen;Rampe Absenken;Absenken;Tag/Nacht Abschaltung;Sommerabschaltung;Frostschutz;Estrich;Handbetrieb;Restwärme;Solarheizen;;;;;;;;;;
FR5 Zustand;heizkreis_5;A41;1,2,3,4;;Raumfernbedienung Zustand Heizkreis 5;DAQ-ANA;3;;r;11552;11553;0,1;;;;;Keine;Auto;Nacht;Tag;Aus;Party;Frostschutz;;;;;;;;;;;;;;
KNX Raumtemp HK5;heizkreis_5;A41;1,2,3,4;;Vorgabe Raumtemp. HK5;DAQ-ANA;3;;rw;11010;11011;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVL_6;heizkreis_6;A51;1,2,3,4;;Vorlauftemperatur Heizkreis 6;DAQ-ANA;3;;r;10164;10165;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVLs_6;heizkreis_6;A51;1,2,3,4;;Vorlauf-Solltemperatur Heizkreis 6;DAQ-ANA;3;;r;10166;10167;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRA_6;heizkreis_6;A51;1,2,3,4;;Raumfühler Heizkreis 6;DAQ-ANA;3;;r;10050;10051;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRs_6;heizkreis_6;A51;1,2,3,4;;Raum-Solltemperatur Heizkreis 6;DAQ-ANA;3;;r;11238;11239;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
HKZustand_6;heizkreis_6;A51;1,2,3,4;;Zustand Heizkreis 6;DAQ-ANA;3;;r;10188;10189;0,1;;;;;Aus;Heizen;Rampe Absenken;Absenken;Tag/Nacht Abschaltung;Sommerabschaltung;Frostschutz;Estrich;Handbetrieb;Restwärme;Solarheizen;;;;;;;;;;
FR6 Zustand;heizkreis_6;A51;1,2,3,4;;Raumfernbedienung Zustand Heizkreis 6;DAQ-ANA;3;;r;11554;11555;0,1;;;;;Keine;Auto;Nacht;Tag;Aus;Party;Frostschutz;;;;;;;;;;;;;;
KNX Raumtemp HK6;heizkreis_6;A51;1,2,3,4;;Vorgabe Raumtemp. HK6;DAQ-ANA;3;;rw;11012;11013;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVL_B;heizkreis_b;A71;1,2,3,4;;Vorlauftemperatur Heizkreis B;DAQ-ANA;3;;r;10300;10301;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TVLs_B;heizkreis_b;A71;1,2,3,4;;Vorlauf-Solltemperatur Heizkreis B;DAQ-ANA;3;;r;10302;10303;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRA_B;heizkreis_b;A71;1,2,3,4;;Raumfühler Heizkreis B;DAQ-ANA;3;;r;10296;10297;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRs_B;heizkreis_b;A71;1,2,3,4;;Raum-Solltemperatur Heizkreis B;DAQ-ANA;3;;r;11302;11303;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
HKZustand_B;heizkreis_b;A71;1,2,3,4;;Zustand Heizkreis B;DAQ-ANA;3;;r;10304;10305;0,1;;;;;Aus;Heizen;Rampe Absenken;Absenken;Tag/Nacht Abschaltung;Sommerabschaltung;Frostschutz;Estrich;Handbetrieb;Restwärme;Solarheizen;;;;;;;;;;
FRB Zustand;heizkreis_b;A71;1,2,3,4;;Raumfernbedienung Zustand Heizkreis B;DAQ-ANA;3;;r;11556;11557;0,1;;;;;Keine;Auto;Nacht;Tag;Aus;Party;Frostschutz;;;;;;;;;;;;;;
KNX Raumtemp HKB;heizkreis_b;A71;1,2,3,4;;Vorgabe Raumtemp. HKB;DAQ-ANA;3;;rw;11014;11015;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TBA;boiler_a;B31;1,2;;Temperatur Boiler A;DAQ-ANA;3;;r;10016;10017;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TBs_A;boiler_a;B31;1,2;;Solltemperatur Boiler A;DAQ-ANA;3;;r;11252;11253;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
BoiZustand_A;boiler_a;B31;1,2;;Zustand Boiler A;DAQ-ANA;3;;r;10196;10197;0,1;;;;;Aus;Laden;Restwärme;Übertemperatur;Handbetrieb;ABS;;;;;;;;;;;;;;;
TB1;boiler_1;B1;1,2;;Temperatur Boiler 1;DAQ-ANA;3;;r;10010;10011;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TBs_1;boiler_1;B1;1,2;;Solltemperatur Boiler 1;DAQ-ANA;3;;r;11254;11255;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
BoiZustand_1;boiler_1;B1;1,2;;Zustand Boiler 1;DAQ-ANA;3;;r;10190;10191;0,1;;;;;Aus;Laden;Restwärme;Übertemperatur;Handbetrieb;ABS;;;;;;;;;;;;;;;
TB2;boiler_2;B11;1,2;;Temperatur Boiler 2;DAQ-ANA;3;;r;10012;10013;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TBs_2;boiler_2;B11;1,2;;Solltemperatur Boiler 2;DAQ-ANA;3;;r;11256;11257;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
BoiZustand_2;boiler_2;B11;1,2;;Zustand Boiler 2;DAQ-ANA;3;;r;10192;10193;0,1;;;;;Aus;Laden;Restwärme;Übertemperatur;Handbetrieb;ABS;;;;;;;;;;;;;;;
TB3;boiler_3;B21;1,2;;Temperatur Boiler 3;DAQ-ANA;3;;r;10014;10015;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TBs_3;boiler_3;B21;1,2;;Solltemperatur Boiler 3;DAQ-ANA;3;;r;11258;11259;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
BoiZustand_3;boiler_3;B21;1,2;;Zustand Boiler 3;DAQ-ANA;3;;r;10194;10195;0,1;;;;;Aus;Laden;Restwärme;Übertemperatur;Handbetrieb;ABS;;;;;;;;;;;;;;;
TBB;boiler_b;B41;1,2;;Temperatur Boiler B;DAQ-ANA;3;;r;10294;10295;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TBs_B;boiler_b;B41;1,2;;Solltemperatur Boiler B;DAQ-ANA;3;;r;11298;11299;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
BoiZustand_B;boiler_b;B41;1,2;;Zustand Boiler B;DAQ-ANA;3;;r;10306;10307;0,1;;;;;Aus;Laden;Restwärme;Übertemperatur;Handbetrieb;ABS;;;;;;;;;;;;;;;
HKR Anf;system;;;;höchste Anforderung aller Heizkreisregler;DAQ-ANA;3;;r;11680;11681;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anf. HKR0;system;;;;Anforderung Heizkreisregler 0;DAQ-ANA;3;;r;11304;11305;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anf. HKR1;system;;;;Anforderung Heizkreisregler 1;DAQ-ANA;3;;r;11306;11307;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anf. HKR2;system;;;;Anforderung Heizkreisregler 2;DAQ-ANA;3;;r;11308;11309;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anf. HKR3;system;;;;Anforderung Heizkreisregler 3;DAQ-ANA;3;;r;11310;11311;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anf. HKR4;system;;;;Anforderung Heizkreisregler 4;DAQ-ANA;3;;r;11312;11313;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anf. HKR5;system;;;;Anforderung Heizkreisregler 5;DAQ-ANA;3;;r;11314;11315;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anf. HKR6;system;;;;Anforderung Heizkreisregler 6;DAQ-ANA;3;;r;11316;11317;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anf. HKR7;system;;;;Anforderung Heizkreisregler 7;DAQ-ANA;3;;r;11318;11319;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anf. HKR8;system;;;;Anforderung Heizkreisregler 8;DAQ-ANA;3;;r;11320;11321;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anf. HKR9;system;;;;Anforderung Heizkreisregler 9;DAQ-ANA;3;;r;11322;11323;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anf. HKR10;system;;;;Anforderung Heizkreisregler 10;DAQ-ANA;3;;r;11324;11325;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anf. HKR11;system;;;;Anforderung Heizkreisregler 11;DAQ-ANA;3;;r;11326;11327;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anf. HKR12;system;;;;Anforderung Heizkreisregler 12;DAQ-ANA;3;;r;11328;11329;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anf. HKR13;system;;;;Anforderung Heizkreisregler 13;DAQ-ANA;3;;r;11330;11331;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anf. HKR14;system;;;;Anforderung Heizkreisregler 14;DAQ-ANA;3;;r;11332;11333;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anf. HKR15;system;;;;Anforderung Heizkreisregler 15;DAQ-ANA;3;;r;11334;11335;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
SP1_AI_1;sensorplatine;;;;Sensorplatine 1 Analog 1;DAQ-ANA;3;;r;11432;11433;0,1;V;;;;;;;;;;;;;;;;;;;;;;;;
SP1_AI_2;sensorplatine;;;;Sensorplatine 1 Analog 2;DAQ-ANA;3;;r;11434;11435;0,1;V;;;;;;;;;;;;;;;;;;;;;;;;
SP1_AI_3;sensorplatine;;;;Sensorplatine 1 Analog 3;DAQ-ANA;3;;r;11436;11437;0,1;V;;;;;;;;;;;;;;;;;;;;;;;;
SP1_AI_4;sensorplatine;;;;Sensorplatine 1 Analog 4;DAQ-ANA;3;;r;11438;11439;0,1;V;;;;;;;;;;;;;;;;;;;;;;;;
SP1_AI_5;sensorplatine;;;;Sensorplatine 1 Analog 5;DAQ-ANA;3;;r;11440;11441;0,1;V;;;;;;;;;;;;;;;;;;;;;;;;
SP1_AI_6;sensorplatine;;;;Sensorplatine 1 Analog 6;DAQ-ANA;3;;r;11442;11443;0,1;V;;;;;;;;;;;;;;;;;;;;;;;;
SP1_AI_7;sensorplatine;;;;Sensorplatine 1 Analog 7;DAQ-ANA;3;;r;11444;11445;0,1;V;;;;;;;;;;;;;;;;;;;;;;;;
